Replace Part IC? MCP1405-E_SN in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with MCP1405-E_SN from Pedro_Integrated_Library.IntLib
Replace Part JP? SolderJumper_Single in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with SolderJumper_Single from Pedro_Integrated_Library.IntLib
Replace Part JP? SolderJumper_Single in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with SolderJumper_Single from Pedro_Integrated_Library.IntLib
Replace Part JP? SolderJumper_Single in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with SolderJumper_Single from Pedro_Integrated_Library.IntLib
Replace Part JP? SolderJumper_Single in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with SolderJumper_Single from Pedro_Integrated_Library.IntLib
Replace Part Q? DMP3028LK3-13 in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with DMP3028LK3-13 from Pedro_Integrated_Library.IntLib
Replace Part Q? DMP3028LK3-13 in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with DMP3028LK3-13 from Pedro_Integrated_Library.IntLib
Replace Part R? RES_0805 in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with RES_0805 from Pedro_Integrated_Library.IntLib
Replace Part R? RES_0805 in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with RES_0805 from Pedro_Integrated_Library.IntLib
Replace Part R? RES_0805 in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with RES_0805 from Pedro_Integrated_Library.IntLib
Replace Part R? RES_0805 in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with RES_0805 from Pedro_Integrated_Library.IntLib
Replace Part R? RES_0805 in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with RES_0805 from Pedro_Integrated_Library.IntLib
Replace Part R? RES_0805 in C:\Users\pedro\Documents\git\VCU 2.0\MOSFETS.SchDoc with RES_0805 from Pedro_Integrated_Library.IntLib
